,pixel_r,pixel_g,pixel_b,local_r,local_g,local_b,edges_r,edges_g,edges_b,label
0,81,86,79,91,93,79,100,102,86,norm_impervious
1,126,110,87,132,116,91,117,108,84,tan_impervious
2,94,96,85,93,95,82,108,109,91,norm_impervious
3,67,83,56,71,84,56,85,93,69,norm_pervious
4,158,129,85,152,137,95,79,86,55,dry_pervious
5,122,123,105,121,121,101,108,109,88,norm_impervious
6,99,100,92,92,94,80,100,102,86,norm_impervious
7,91,99,76,92,98,76,82,89,68,norm_impervious
8,109,111,89,99,103,82,85,91,71,norm_impervious
9,100,100,88,100,103,84,83,88,68,norm_impervious
10,94,92,79,96,95,83,116,116,99,norm_impervious
11,145,146,132,137,139,125,105,105,90,norm_impervious
12,149,151,129,140,141,120,90,93,73,norm_impervious
13,130,131,113,120,121,101,112,113,93,norm_impervious
14,78,82,67,86,90,74,117,122,105,norm_impervious
15,62,77,58,69,82,63,84,91,75,norm_pervious
16,66,80,63,67,81,63,86,93,79,norm_pervious
17,101,110,89,91,96,74,80,87,66,norm_impervious
18,158,129,85,152,137,95,79,86,55,dry_pervious
19,162,142,109,150,131,100,110,106,77,dry_pervious
20,216,202,199,213,202,199,183,174,166,norm_impervious
21,117,103,76,132,115,90,131,116,91,tan_impervious
22,79,85,57,72,78,51,71,77,50,norm_pervious
23,87,87,61,73,78,50,67,76,47,fall_pervious
24,80,76,51,72,78,50,68,77,48,fall_pervious
25,67,74,58,68,72,59,68,75,57,norm_impervious
26,64,64,52,69,71,61,74,79,64,norm_impervious
27,65,64,59,70,73,61,77,84,66,norm_impervious
28,116,118,105,94,97,82,76,80,64,norm_impervious
29,105,110,88,100,106,85,83,91,70,norm_impervious
30,46,60,35,51,63,42,59,71,49,shaded_pervious
31,20,22,9,36,40,25,56,60,44,shaded_pervious
32,61,70,49,62,73,49,69,76,56,shaded_pervious
33,61,70,49,72,77,54,79,81,60,shaded_pervious
34,53,61,40,70,75,54,80,82,61,shaded_pervious
35,57,60,43,65,69,49,78,79,59,shaded_pervious
36,78,88,61,70,84,58,64,75,51,norm_pervious
37,38,62,40,49,70,43,72,83,57,norm_pervious
38,147,145,133,147,149,136,146,148,134,norm_impervious
39,99,103,89,95,102,82,66,75,54,norm_impervious
40,123,122,101,126,127,107,110,112,91,norm_impervious
41,150,148,127,155,154,133,121,120,99,norm_impervious
42,159,158,140,150,152,131,129,130,111,norm_impervious
43,137,139,125,124,125,110,133,132,114,norm_impervious
44,125,124,103,125,126,106,111,113,93,norm_impervious
45,95,102,86,95,102,82,65,75,54,norm_impervious
46,102,107,87,88,96,75,68,76,56,norm_impervious
47,68,90,54,77,89,63,83,91,70,norm_pervious
48,68,81,53,66,79,53,79,88,66,norm_pervious
49,67,81,56,66,79,53,81,90,68,norm_pervious
50,57,79,43,54,70,43,60,71,48,norm_pervious
51,49,63,37,52,67,42,60,70,51,shaded_pervious
52,19,50,18,32,57,29,52,71,44,shaded_pervious
53,41,61,34,53,69,42,61,69,44,shaded_pervious
54,65,73,49,58,70,45,59,69,47,norm_pervious
55,49,72,43,57,75,48,81,88,64,norm_pervious
56,41,64,35,51,71,45,82,91,68,norm_pervious
57,34,59,37,53,72,46,76,85,60,norm_pervious
58,76,88,64,71,82,56,83,92,67,norm_pervious
59,63,83,56,77,86,60,99,103,80,norm_pervious
60,220,217,212,214,212,206,137,139,126,norm_impervious
61,124,126,112,139,141,128,123,125,110,norm_impervious
62,131,111,78,131,113,87,129,114,89,tan_impervious
63,132,115,87,139,122,97,123,111,87,tan_impervious
64,133,121,95,137,120,95,125,114,90,tan_impervious
65,145,124,97,135,125,102,126,118,97,tan_impervious
66,164,156,117,165,158,120,158,151,118,tan_impervious
67,106,108,87,96,101,82,70,79,60,norm_impervious
68,77,82,75,95,96,82,105,107,90,norm_impervious
69,64,66,52,61,69,51,68,77,58,shaded_pervious
70,34,73,28,48,71,39,55,72,45,norm_pervious
71,44,57,29,57,75,43,61,76,47,norm_pervious
72,70,80,56,67,77,50,65,74,47,norm_pervious
73,70,74,47,73,79,51,68,76,48,fall_pervious
74,83,79,54,71,77,49,65,75,47,fall_pervious
75,82,85,58,69,78,50,66,75,48,fall_pervious
76,79,79,55,71,79,51,64,75,46,fall_pervious
77,42,60,34,54,70,44,56,71,46,shaded_pervious
78,49,73,41,54,73,44,57,72,47,norm_pervious
79,92,100,76,65,80,50,60,74,48,norm_pervious
80,57,78,45,51,73,41,57,74,45,norm_pervious
81,102,98,71,97,101,72,87,95,70,dry_pervious
82,119,110,79,98,102,72,90,97,71,dry_pervious
83,97,106,75,95,100,71,87,94,69,norm_pervious
84,73,76,67,79,82,73,96,99,83,norm_impervious
85,74,75,67,85,89,77,94,97,80,norm_impervious
86,82,84,71,84,87,76,96,99,83,norm_impervious
87,105,108,87,106,108,90,79,83,64,norm_impervious
88,118,119,101,106,107,91,70,77,59,norm_impervious
89,108,113,91,102,105,89,74,80,62,norm_impervious
90,129,185,198,159,185,178,141,145,128,water
91,133,183,180,153,185,182,142,148,134,water
92,236,234,247,231,227,233,136,134,120,norm_impervious
93,133,137,123,140,143,129,154,157,144,norm_impervious
94,146,186,178,146,183,182,108,110,98,water
95,166,202,190,162,192,188,117,114,99,water
96,118,182,182,159,185,178,143,146,129,water
97,125,183,187,158,185,178,143,147,131,water
98,144,141,122,150,149,129,136,136,116,norm_impervious
99,78,85,67,62,74,54,60,75,53,shaded_pervious
100,67,70,61,66,70,58,77,85,65,norm_impervious
101,42,45,38,48,58,41,82,89,70,norm_impervious
102,60,63,52,61,67,53,73,82,63,norm_impervious
103,39,52,35,52,66,44,59,69,48,shaded_pervious
104,70,71,65,78,81,67,89,93,75,norm_impervious
105,83,86,75,94,96,82,107,109,91,norm_impervious
106,75,73,60,71,76,59,79,87,68,norm_impervious
107,50,80,46,55,70,46,63,73,52,norm_pervious
108,42,72,34,52,68,43,66,75,52,norm_pervious
109,54,73,41,52,70,41,61,71,48,norm_pervious
110,67,84,50,53,70,41,59,70,47,norm_pervious
111,46,59,33,50,63,37,67,78,53,norm_pervious
112,49,68,38,57,70,46,59,69,48,norm_pervious
113,158,132,99,124,115,85,98,100,73,dry_pervious
114,37,59,36,53,72,46,82,91,67,norm_pervious
115,47,71,45,52,73,45,68,81,55,norm_pervious
116,41,72,40,56,74,47,89,95,70,norm_pervious
117,114,111,92,108,111,91,84,90,69,norm_impervious
118,123,128,108,111,115,94,84,90,71,norm_impervious
119,101,103,92,95,96,82,131,129,112,norm_impervious
120,177,176,158,176,175,157,134,132,116,norm_impervious
121,143,142,124,143,141,125,126,125,109,norm_impervious
122,94,92,79,92,93,80,110,111,94,norm_impervious
123,118,116,101,127,126,109,109,111,94,norm_impervious
124,105,107,86,95,98,80,97,101,82,norm_impervious
125,158,155,136,154,153,132,118,118,96,norm_impervious
126,198,191,185,212,202,199,167,159,148,norm_impervious
127,156,157,143,139,142,125,112,119,99,norm_impervious
128,63,79,52,60,80,52,74,88,61,norm_pervious
129,143,120,76,133,120,81,72,84,53,dry_pervious
